,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
280,1356,1368,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50,1.8410958904,2804,11013,0.006999999999999999,1,3,-0.175,-0.18,0.005,0.004,21430,17345,5445,50,-0.1,0.0093338985,2,0
440,2038,2050,7,0,0,0,25,37,2,0,0,0,3500000000,0,0,0,-4700000000,1200000000,0,0,0,0,9,205,8.8602739726,4503,9721,-0.001,5,10,0.0,-0.01,0.01,0.004,80384,65525,69216,205,-0.0989451477,0.0096124946,1,0
264,1195,1206,4,0,1,0,8,2,0,0,0,0,-1100000000,0,-73100000000,0,82200000000,-8000000000,0,0,0,0,7,107,1.3452054795,2804,11013,0.006999999999999999,1,3,-0.175,-0.18,0.005,0.004,58521,51923,18031,107,-0.0805759008,-0.032114038000000004,2,0
173,799,805,12,2,0,0,10,5,0,0,0,0,-500000000,100000000,0,0,3980000000,-3580000000,0,0,0,0,15,266,18.0657534247,2019,7279,0.003,10,25,0.445,0.44,0.005,-0.016,39123,32696,21323,266,-0.07,0.009838297900000001,0,0
137,683,689,2,1,0,0,3,1,2,0,0,0,600000000,-500000000,0,0,-600000000,500000000,0,0,0,0,2,44,15.5808219178,2006,4580,-0.01,10,25,0.305,0.3,0.005,-0.005,12752,11002,3198,44,-0.0122413793,0.0099543429,0,0
80,442,447,26,0,0,0,2,0,1,0,0,0,-200000000,0,0,0,0,0,200000000,0,0,0,3,155,12.7917808219,2017,5475,-0.006999999999999999,10,25,0.165,0.17,-0.005,-0.005,11643,10070,2390,155,-0.1,0.0099967412,2,0
353,1703,1715,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,109,4.8438356164,3004,8789,0.003,3,5,-0.12,-0.12,0.0,-0.001,47149,40921,11523,109,-0.0754863813,0.009614781,0,0
436,2029,2041,0,0,0,0,47,30,0,4,0,0,0,0,0,0,21500000000,-29500000000,0,8000000000,0,0,9,20,8.6136986301,4503,9721,-0.001,5,10,-0.01,-0.02,0.01,0.004,78167,65571,62802,20,-0.1991208791,-0.2128125,0,0
460,2129,2141,3,1,0,0,0,0,0,0,0,0,3300000000,-3300000000,0,0,0,0,0,0,0,0,9,115,6.1095890411000005,4503,9721,-0.001,5,10,-0.105,-0.115,0.01,0.005,7988,7988,7502,115,0.005,-0.085,2,0
148,705,711,2,1,0,0,0,5,4,0,0,0,5700000000,-7700000000,0,0,0,2000000000,0,0,0,0,9,206,15.865753424700001,2013,3930,0.003,10,25,0.345,0.34,0.005,0.01,13305,10977,2513,206,-0.09,0.01,0,0
400,1938,1950,4,0,0,0,8,8,1,0,0,0,2200000000,0,0,0,0,-700000000,-1500000000,0,0,0,2,276,6.3232876712,4507,11463,-0.009000000000000001,5,10,-0.08,-0.085,0.005,-0.005,25961,21769,20317,276,-0.0559344702,0.0098499094,0,0
186,867,873,35,2,0,0,60,31,0,0,0,0,-6100000000,0,0,0,-17200000000,23300000000,0,0,0,0,3,8,19.797260274,2017,5475,-0.006999999999999999,10,25,0.56,0.565,-0.005,-0.005,11977,9938,5490,8,-0.0996146953,-0.0013331797000000001,0,0
281,1362,1374,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,50,1.802739726,2801,8916,0.006,1,3,-0.17,-0.17,0.0,-0.001,21430,17345,5643,50,-0.005714285699999999,0.0052164849,2,0
224,1037,1046,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1700000000,-1700000000,0,0,0,0,3,134,28.556164383600002,1003,2379,-0.004,25,-1,0.725,0.735,-0.01,-0.005,26454,21926,17736,134,-0.0788095238,0.0099254388,0,0
60,346,351,2,0,0,0,3,1,0,0,0,0,-700000000,0,0,0,-300000000,1000000000,0,0,0,0,3,18,11.295890410999998,2017,5475,-0.006999999999999999,10,25,0.095,0.1,-0.005,-0.005,8731,7363,2269,18,-0.085,0.01,2,0
334,1644,1656,2,0,0,0,19,18,0,0,0,0,1300000000,0,0,0,0,-1300000000,0,0,0,0,7,213,3.8438356164,3004,8789,0.003,3,5,-0.14,-0.14,0.0,-0.001,23919,19992,6768,213,-0.0980094044,0.0069533804000000005,0,0
7,72,75,8,0,1,0,0,0,0,0,0,0,37100000000,0,-37100000000,0,0,0,0,0,0,0,4,95,17.8465753425,2011,6069,0.001,10,25,0.43,0.435,-0.005,0.005,5194,4997,834,95,-0.09,-0.08,2,0
420,1986,1998,1,0,0,0,25,28,2,2,0,0,100000000,0,0,0,-6100000000,8100000000,-2100000000,0,0,0,3,252,7.5424657534,4505,10517,-0.006,5,10,-0.045,-0.045,0.0,0.0,27490,21974,17598,252,-0.2684541063,0.004531641800000001,0,0
332,1641,1653,3,1,0,0,24,23,0,0,0,0,700000000,12900000000,0,0,0,-14000000000,0,0,0,0,15,89,3.8054794521,3004,9144,0.006,3,5,-0.129,-0.13,0.001,-0.005,48512,40040,13328,89,-0.07790349419999999,0.0095504496,1,0
39,229,233,2,0,0,0,1,0,0,0,0,0,1000000000,0,0,0,-1000000000,0,0,0,0,0,3,12,23.8,2017,5475,-0.006999999999999999,10,25,0.595,0.605,-0.01,-0.005,27700,24588,4114,12,-0.022994923900000002,0.01,2,0
85,454,459,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,185,13.076712328800001,2006,4580,-0.01,10,25,0.19,0.185,0.005,-0.005,12562,10061,1911,185,-0.05,0.01,0,0
294,1415,1427,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,277,2.7808219177999995,2801,4911,-0.008,1,3,-0.111,-0.13,0.019,0.004,46867,40112,20328,277,-0.02,0.007449101800000002,0,0
45,249,253,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,99,24.8,2017,5475,-0.006999999999999999,10,25,0.625,0.635,-0.01,-0.005,31358,25594,5666,99,-0.1,0.0064122497,0,0
13,113,117,1,0,0,0,0,1,0,0,0,0,-5000000000,0,0,0,0,5000000000,0,0,0,0,9,25,18.8684931507,2013,3930,0.003,10,25,0.48,0.475,0.005,0.01,5379,4998,949,25,-0.1,0.01,2,0
292,1406,1418,2,1,1,0,1,4,0,0,0,0,-200000000,-5000000000,5000000000,0,200000000,0,0,0,0,0,11,71,2.5315068493,2801,4911,-0.008,1,3,-0.115,-0.135,0.02,0.004,70770,60084,25883,71,0.0,0.01,0,0
151,711,717,2,1,0,0,0,6,3,0,0,0,-16800000000,13300000000,0,0,0,0,3500000000,0,0,0,3,206,15.7945205479,2017,5475,-0.006999999999999999,10,25,0.32,0.325,-0.005,-0.005,13305,10977,2513,206,-0.065,0.01,0,0
2,42,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,186,16.8136986301,2019,7279,0.003,10,25,0.355,0.35,0.005,-0.015,4998,4998,1447,186,-0.11,0.01,2,0
14,122,126,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,148,19.101369863,2011,6069,0.001,10,25,0.485,0.49,-0.005,0.005,6553,5998,939,148,-0.09,0.01,0,0
295,1416,1428,1,6,0,0,7,5,0,0,0,0,24200000000,-10000000000,0,0,-39500000000,25300000000,0,0,0,0,15,277,2.8054794521,2801,8916,0.006,1,3,-0.14400000000000002,-0.14400000000000002,0.0,-0.005,46867,40112,20328,277,-0.03,0.0055526706,0,0
378,1880,1892,6,0,0,0,9,4,0,0,0,0,10000000000,0,0,0,-22500000000,12500000000,0,0,0,0,3,158,5.2904109589,4505,10517,-0.006,5,10,-0.095,-0.096,0.001,0.004,70511,63003,16152,158,-0.053125,0.0099740505,0,0
228,1045,1054,21,0,0,0,23,5,2,0,0,0,500000000,0,0,0,-500000000,0,0,0,0,0,11,166,28.797260274,1007,2811,-0.004,25,-1,0.77,0.78,-0.01,0.0,25459,21898,11942,166,-0.12,0.008944000799999999,2,0
35,209,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,22.8,2017,5475,-0.006999999999999999,10,25,0.575,0.585,-0.01,-0.005,24842,22076,2787,73,-0.08,0.01,2,0
287,1388,1400,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,2.2821917808000003,2801,4911,-0.008,1,3,-0.119,-0.14,0.021,0.004,45859,38370,11537,90,-0.0133522727,0.0023149905,0,0
26,180,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,214,21.295890411,2009,4992,-0.017,10,25,0.529,0.535,-0.006,-0.005,18225,15593,1655,214,-0.01,0.0095464694,2,0
172,798,804,2,1,0,0,5,2,2,0,0,0,27200000000,-25200000000,0,0,-2000000000,0,0,0,0,0,3,266,18.0465753425,2017,5475,-0.006999999999999999,10,25,0.445,0.45,-0.005,-0.005,39123,32696,21323,266,-0.06500172500000001,0.0080088717,0,0
130,660,666,1,0,0,0,10,4,0,0,0,0,-900000000,0,0,0,-300000000,1200000000,0,0,0,0,11,216,15.0410958904,2009,4992,-0.017,10,25,0.265,0.27,-0.005,-0.005,11997,10941,5070,216,-0.0270212766,0.0053159714,0,0
465,2156,2168,2,1,0,0,0,2,0,0,0,0,34600000000,-5300000000,0,0,0,-29300000000,0,0,0,0,9,193,6.6109589040999985,4503,9721,-0.001,5,10,-0.08,-0.09,0.01,0.005,9981,9981,3533,193,0.0,-0.085,0,0
454,2063,2075,7,3,0,0,38,9,2,0,0,0,-15400000000,31300000000,0,0,-7700000000,-7000000000,-1200000000,0,0,0,2,164,9.3260273973,4507,11463,-0.009000000000000001,5,10,0.03,0.025,0.005,-0.005,79089,65101,57902,164,-0.0570820984,0.0087661341,0,0
417,1976,1988,15,1,1,0,32,21,0,0,0,0,67600000000,-5000000000,5000000000,0,-74100000000,6500000000,0,0,0,0,3,132,7.2931506849,4505,10517,-0.006,5,10,-0.055,-0.055,0.0,0.0,71831,66086,51223,132,-0.07763636360000001,0.0008326299000000001,1,0
19,153,157,2,0,0,0,6,1,0,0,0,0,4200000000,0,0,0,-3700000000,-500000000,0,0,0,0,11,201,19.7917808219,2009,4992,-0.017,10,25,0.485,0.49,-0.005,-0.005,13052,10975,1531,201,-0.09,0.01,2,0
205,973,982,1,1,1,0,0,0,0,0,0,0,29700000000,-5100000000,-24600000000,0,0,0,0,0,0,0,4,63,27.106849315100003,1005,4115,-0.006999999999999999,25,-1,0.71,0.715,-0.005,0.01,21252,18394,9163,63,-0.11,0.01,2,0
456,2071,2083,47,2,0,1,24,6,0,0,0,0,44800000000,5500000000,0,5000000000,-18300000000,-37000000000,0,0,0,0,2,88,9.5753424658,4507,11463,-0.009000000000000001,5,10,0.04,0.035,0.005,-0.005,74171,65338,45332,88,-0.055180424000000006,0.0084839623,0,0
211,1000,1009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,27.835616438400002,1003,2812,-0.01,25,-1,0.715,0.71,0.005,-0.005,26328,21011,13195,15,-0.08029411759999999,0.0099199393,0,0
50,269,273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105,15.504109589,2006,4580,-0.01,10,25,0.305,0.3,0.005,-0.005,2997,2997,603,105,-0.11,0.01,2,0
463,2153,2165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,159,6.3232876712,4507,11463,-0.009000000000000001,5,10,-0.08,-0.084,0.004,-0.005,9992,9992,4162,159,-0.11,0.01,2,0
376,1867,1879,6,1,0,0,11,5,0,0,0,0,24800000000,-30000000000,0,0,15200000000,-10000000000,0,0,0,0,9,157,5.1095890411000005,4503,9721,-0.001,5,10,-0.12,-0.13,0.01,0.005,49270,41867,14894,157,-0.045,0.009188973000000001,0,0
13,113,117,1,0,0,0,0,1,0,0,0,0,-5000000000,0,0,0,0,5000000000,0,0,0,0,9,25,18.8684931507,2013,3930,0.003,10,25,0.48,0.475,0.005,0.01,5379,4998,949,25,-0.1,0.01,2,0
361,1743,1755,0,0,0,0,25,30,6,0,0,0,0,0,0,0,300000000,-1200000000,900000000,0,0,0,13,262,3.8246575342,3005,11289,0.006999999999999999,3,5,-0.145,-0.145,0.0,-0.011,81832,66585,68972,262,-0.1424944715,-0.079518235,0,0
229,1048,1057,2,0,0,0,7,2,1,0,0,0,500000000,0,0,0,400000000,-800000000,-100000000,0,0,0,2,268,29.0876712329,1003,2812,-0.01,25,-1,0.84,0.835,0.005,-0.01,25189,21809,12767,268,-0.095,0.0097974813,2,0
50,269,273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105,15.504109589,2006,4580,-0.01,10,25,0.305,0.3,0.005,-0.005,2997,2997,603,105,-0.11,0.01,2,0
192,923,931,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,219,25.3232876712,1003,3253,0.002,25,-1,0.645,0.635,0.01,-0.02,30171,25645,1193,219,-0.1,0.0097944994,1,0
472,2216,2229,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,149,7.6,4510,12335,0.002,5,10,-0.04,-0.035,-0.005,-0.006,11997,11997,2325,149,0.0,0.01,0,0
5,70,73,2,0,0,0,1,0,0,0,0,0,500000000,0,0,0,-500000000,0,0,0,0,0,15,162,17.5671232877,2019,7279,0.003,10,25,0.395,0.39,0.005,-0.015,4998,4998,1703,162,0.0,0.01,2,0
336,1650,1662,2,0,0,0,16,5,0,0,0,0,8600000000,0,0,0,-7600000000,-1000000000,0,0,0,0,13,17,4.0767123288,3005,11289,0.006999999999999999,3,5,-0.124,-0.125,0.001,-0.01,46380,39973,20752,17,0.0034722222,0.0040108401,0,0
