,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
773,779,2,2,0,0,1,1,0,0,0,0,5200000000,0,0,0,-4200000000,-1000000000,0,0,0,0,2017-05-12,SL-151,17.6219178082,2013,3930,0.003,10,25,0.45,0.445,0.005,0.01,39555,32982,19568,SL-151,-0.073143108,-0.053897970999999996,up,down
779,785,2,1,0,0,4,2,0,0,0,0,-12500000000,11400000000,0,0,2100000000,-1000000000,0,0,0,0,2017-05-31,SL-151,17.569863013699997,2019,7279,0.003,10,25,0.425,0.42,0.005,-0.015,39555,32982,19568,SL-151,-0.07023741010000001,0.0099210442,up,down
780,786,4,2,0,0,4,1,0,0,0,0,1000000000,-1500000000,0,0,-2500000000,3000000000,0,0,0,0,2017-05-26,SL-152,17.8301369863,2006,4580,-0.01,10,25,0.441,0.435,0.006,-0.005,39639,32761,17596,SL-152,-0.0802380952,-0.065057395,up,down
781,787,37,2,0,0,8,5,0,0,0,0,900000000,1000000000,0,0,-4400000000,2500000000,0,0,0,0,2017-05-19,SL-152,17.849315068499997,2011,6069,0.001,10,25,0.46,0.465,-0.005,0.005,39639,32761,17596,SL-152,-0.1,-0.07986007980000001,up,up
782,788,2,6,0,0,10,8,0,0,0,0,6600000000,2000000000,0,0,-4600000000,-4000000000,0,0,0,0,2017-05-12,SL-152,17.8684931507,2013,3930,0.003,10,25,0.465,0.46,0.005,0.01,39639,32761,17596,SL-152,-0.0824913495,-0.0702311382,up,down
787,793,3,0,0,0,8,2,0,0,0,0,-6000000000,0,0,0,4500000000,1500000000,0,0,0,0,2017-06-07,SL-152,17.797260274,2017,5475,-0.006999999999999999,10,25,0.435,0.44,-0.005,-0.005,39639,32761,17596,SL-152,-0.056428571399999995,0.0098988551,up,up
788,794,3,0,0,0,8,2,0,0,0,0,-6000000000,0,0,0,4500000000,1500000000,0,0,0,0,2017-06-07,SL-152,17.797260274,2017,5475,-0.006999999999999999,10,25,0.435,0.44,-0.005,-0.005,39639,32761,17596,SL-152,-0.056428571399999995,0.0098988551,up,up
789,795,20,0,0,0,8,3,0,0,0,0,7300000000,0,0,0,-4400000000,-2900000000,0,0,0,0,2017-05-31,SL-152,17.8164383562,2019,7279,0.003,10,25,0.435,0.43,0.005,-0.015,39639,32761,17596,SL-152,-0.06850451469999999,-0.0702427842,up,down
790,796,2,4,0,0,3,0,0,0,0,0,500000000,12600000000,0,0,-13100000000,0,0,0,0,0,2017-05-26,SL-153,18.0821917808,2006,4580,-0.01,10,25,0.451,0.445,0.006,-0.005,39123,32696,21323,SL-153,-0.057036641799999996,-0.06505906809999999,up,down
791,797,2,3,0,0,3,0,0,0,0,0,24700000000,-22800000000,0,0,-1900000000,0,0,0,0,0,2017-05-19,SL-153,18.101369863,2011,6069,0.001,10,25,0.47,0.47600000000000003,-0.006,0.006,39123,32696,21323,SL-153,-0.056118251900000006,-0.0063111851,up,down
