,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
1513,1525,2,0,0,0,6,13,0,0,0,0,2600000000,0,0,0,0,-2600000000,0,0,0,0,2017-05-31,5Y-121,2.3095890411,2801,8916,0.006,1,3,-0.149,-0.151,0.002,-0.001,29965,24553,17202,5Y-121,-0.08857758619999999,-0.0415670436,up,up
1514,1526,3,4,0,0,4,4,0,0,0,0,4400000000,0,0,0,0,-4400000000,0,0,0,0,2017-05-24,5Y-122,2.5780821918,2805,12807,0.009000000000000001,1,3,-0.15,-0.149,-0.001,-0.009000000000000001,88563,74413,66664,5Y-122,-0.0740898713,0.009694361,up,up
1521,1533,2,4,0,0,11,10,0,0,0,0,900000000,0,0,0,16100000000,-17000000000,0,0,0,0,2017-06-09,5Y-122,2.5342465753,2801,4911,-0.008,1,3,-0.115,-0.135,0.02,0.004,88563,74413,66664,5Y-122,-0.06502189139999999,0.0099461187,down,up
1530,1542,2,0,0,0,19,35,0,0,0,0,-15900000000,0,0,0,1400000000,14500000000,0,0,0,0,2017-06-09,5Y-123,2.7835616438,2801,4911,-0.008,1,3,-0.115,-0.135,0.02,0.004,84655,70411,56410,5Y-123,-0.08007516490000001,-0.0153946502,down,up
1531,1543,2,1,1,0,13,28,0,0,0,0,100000000,-23800000000,23800000000,0,-100000000,0,0,0,0,0,2017-05-31,5Y-123,2.8082191781,2801,8916,0.006,1,3,-0.149,-0.15,0.001,-0.005,84655,70411,56410,5Y-123,-0.07993577639999999,-0.0193381995,down,up
1541,1553,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-24,SL-41,1.8246575341999998,2805,12807,0.009000000000000001,1,3,-0.168,-0.16399999999999998,-0.004,-0.009000000000000001,5987,5987,3722,SL-41,-0.105,0.01,stay,up
1588,1600,3,0,0,0,2,1,0,0,0,0,-49500000000,0,0,0,0,49500000000,0,0,0,0,2017-05-17,308,3.098630137,3004,8789,0.003,3,5,-0.15,-0.15,0.0,0.0,21908,20100,10349,308,-0.1,0.0098801743,down,up
1593,1605,21,3,0,0,6,2,0,0,0,0,30400000000,-10900000000,0,0,-29500000000,10000000000,0,0,0,0,2017-06-09,308,3.0356164384,3003,6580,-0.012,3,5,-0.11,-0.126,0.016,0.004,21908,20100,10349,308,-0.065,-0.0075852498,down,up
1594,1606,3,2,0,0,8,7,0,0,0,0,90700000000,-15000000000,0,0,9900000000,-85600000000,0,0,0,0,2017-05-31,308,3.0602739726,3004,9144,0.006,3,5,-0.135,-0.135,0.0,-0.005,21908,20100,10349,308,-0.07377358490000001,0.01,up,up
1602,1614,2,0,0,0,2,1,0,0,0,0,5000000000,0,0,0,-7500000000,2500000000,0,0,0,0,2017-06-09,309,3.0356164384,3003,6580,-0.012,3,5,-0.11,-0.126,0.016,0.004,47072,40137,22476,309,-0.0866853933,0.0007511211,down,up
1603,1615,2,5,1,0,3,0,0,0,0,0,14000000000,4000000000,-4000000000,0,-14000000000,0,0,0,0,0,2017-05-31,309,3.0602739726,3004,9144,0.006,3,5,-0.135,-0.135,0.0,-0.005,47072,40137,22476,309,-0.01,0.01,up,up
1604,1616,2,0,0,0,8,6,0,0,0,0,-36000000000,0,0,0,36000000000,0,0,0,0,0,2017-05-24,310,3.3315068493,3005,11289,0.006999999999999999,3,5,-0.139,-0.139,0.0,-0.01,47219,40063,24303,310,-0.08547619050000001,0.00960199,down,up
1612,1624,2,0,0,0,2,4,0,0,0,0,4500000000,0,0,0,-4500000000,0,0,0,0,0,2017-05-31,310,3.3123287671,3004,9144,0.006,3,5,-0.14,-0.14,0.0,-0.005,47219,40063,24303,310,-0.0776190476,-0.0102090764,down,up
1614,1626,2,0,0,0,11,4,0,0,0,0,0,0,0,0,-25000000000,25000000000,0,0,0,0,2017-05-22,311,3.3424657533999995,3005,10497,0.003,3,5,-0.129,-0.134,0.005,0.006,21925,20073,7286,311,-0.0634615385,0.01,down,up
1623,1635,3,1,0,0,13,2,0,0,0,0,-2200000000,-8500000000,0,0,-300000000,11000000000,0,0,0,0,2017-05-22,312,3.5917808219,3005,10497,0.003,3,5,-0.125,-0.13,0.005,0.009000000000000001,72377,60012,13300,312,-0.0883333333,0.0074660456,down,up
1624,1636,2,0,0,0,3,3,0,0,0,0,-42400000000,0,0,0,38900000000,3500000000,0,0,0,0,2017-05-17,312,3.6,3004,8789,0.003,3,5,-0.14400000000000002,-0.14400000000000002,0.0,-0.001,72377,60012,13300,312,-0.0897735192,0.0050907857,up,up
1627,1639,2,2,0,0,0,0,0,0,0,0,-79800000000,79800000000,0,0,0,0,0,0,0,0,2017-06-09,312,3.5369863014,3003,6580,-0.012,3,5,-0.106,-0.125,0.019,0.0,72377,60012,13300,312,-0.08,0.01,up,up
1630,1642,5,0,0,0,3,3,0,0,0,0,-3000000000,0,0,0,0,3000000000,0,0,0,0,2017-05-22,313,3.8383561644,3005,10497,0.003,3,5,-0.125,-0.13,0.005,0.005,48512,40040,13328,313,-0.0153947368,0.008680989,up,up
1636,1648,2,1,0,0,3,5,1,0,0,0,-30800000000,37800000000,0,0,13000000000,-20100000000,100000000,0,0,0,2017-06-09,313,3.7835616438,3003,6580,-0.012,3,5,-0.105,-0.12,0.015,0.0,48512,40040,13328,313,-0.0041363212,0.0055476038,up,up
1637,1649,3,2,1,0,13,28,0,0,0,0,7200000000,-9800000000,3000000000,0,-33500000000,33500000000,0,0,0,0,2017-05-31,313,3.8082191781,3004,9144,0.006,3,5,-0.129,-0.13,0.001,-0.005,48512,40040,13328,313,-0.07790349419999999,0.0095504496,down,up
1638,1650,1,0,0,0,22,11,0,0,0,0,3500000000,0,0,0,-500000000,-3000000000,0,0,0,0,2017-05-24,314,3.8273972602999997,3005,11289,0.006999999999999999,3,5,-0.135,-0.135,0.0,-0.01,23919,19992,6768,314,-0.0490322581,-0.050098425200000005,up,up
1640,1652,3,1,0,0,20,8,0,0,0,0,5500000000,-6800000000,0,0,0,1300000000,0,0,0,0,2017-05-17,314,3.8465753425,3004,8789,0.003,3,5,-0.14,-0.14,0.0,-0.001,23919,19992,6768,314,-0.0980094044,0.0069533804000000005,up,up
1647,1659,1,1,0,0,9,7,0,0,0,0,21800000000,-700000000,0,0,-35500000000,14400000000,0,0,0,0,2017-05-31,314,3.8082191781,3004,9144,0.006,3,5,-0.129,-0.13,0.001,-0.005,23919,19992,6768,314,-0.085,0.007080271300000001,down,up
1648,1660,15,0,0,0,7,3,0,0,0,0,-1500000000,0,0,0,500000000,1000000000,0,0,0,0,2017-05-24,315,4.0794520548,3005,11289,0.006999999999999999,3,5,-0.124,-0.125,0.001,-0.01,46380,39973,20752,315,0.0034722221999999997,0.0040108401,up,up
1650,1662,17,4,0,0,2,0,0,0,0,0,300000000,0,0,0,-300000000,0,0,0,0,0,2017-05-17,315,4.098630137,3004,8789,0.003,3,5,-0.13,-0.13,0.0,0.0,46380,39973,20752,315,-0.095,0.0098087762,stay,up
1659,1671,4,0,0,0,10,1,0,0,0,0,-5000000000,0,0,0,0,5000000000,0,0,0,0,2017-05-22,316,4.0904109589,3005,10497,0.003,3,5,-0.115,-0.12,0.005,0.005,24084,19901,7839,316,-0.0091328887,0.01,up,up
