,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
199,974,983,2,1,0,0,0,0,0,0,0,0,-3600000000,3600000000,0,0,0,0,0,0,0,0,9,63,27.1260273973,1002,3108,0.009000000000000001,25,-1,0.7,0.7,0.0,0.01,21252,18394,9163,63,-0.08,-0.085,0,1
47,426,431,2,0,0,0,5,4,0,0,0,0,-500000000,0,0,0,3000000000,-2500000000,0,0,0,0,4,52,12.597260274000002,2011,6069,0.001,10,25,0.168,0.17,-0.002,0.005,10990,10049,2109,52,-0.09,0.0091649269,0,0
429,2044,2056,2,0,0,0,36,20,4,9,0,0,4400000000,0,0,0,6200000000,19200000000,1200000000,-31000000000,0,0,3,205,8.7890410959,4505,10517,-0.006,5,10,0.004,0.005,-0.001,0.0,80384,65525,69728,205,-0.0672347066,-0.0033931718,0,0
382,1900,1912,13,0,0,0,10,18,0,0,0,0,23600000000,0,0,0,-23600000000,0,0,0,0,0,2,135,5.5726027397000015,4507,11463,-0.009000000000000001,5,10,-0.095,-0.1,0.005,-0.005,52050,42739,8640,135,-0.0007162534000000001,0.0099755278,0,0
392,1922,1934,33,1,0,0,5,4,0,0,0,0,-5000000000,10000000000,0,0,5000000000,-10000000000,0,0,0,0,9,244,6.3616438356,4503,9721,-0.001,5,10,-0.095,-0.105,0.01,0.005,54684,43562,36257,244,-0.08,-0.012388482900000001,0,1
215,1028,1037,2,0,0,0,3,2,0,0,0,0,1000000000,0,0,0,-1000000000,0,0,0,0,0,15,66,28.3260273973,1003,3253,0.002,25,-1,0.725,0.715,0.01,-0.02,27389,21829,20300,66,-0.0851612903,0.0096710821,0,0
234,1113,1122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,199,32.8246575342,1003,3253,0.002,25,-1,0.74,0.73,0.01,-0.02,12455,11987,1864,199,0.0,0.01,0,2
448,2119,2131,2,2,0,0,0,0,0,0,0,0,-11500000000,11500000000,0,0,0,0,0,0,0,0,9,221,5.857534246599998,4503,9721,-0.001,5,10,-0.105,-0.115,0.01,0.005,7989,7989,5942,221,-0.05,0.01,0,2
90,662,668,4,0,0,0,6,1,0,0,0,0,-200000000,0,0,0,-300000000,500000000,0,0,0,0,3,216,15.0465753425,2017,5475,-0.006999999999999999,10,25,0.275,0.28,-0.005,-0.005,11997,10941,5011,216,-0.06,-0.1120175439,0,1
110,700,706,4,0,0,1,3,2,1,0,0,0,4500000000,0,0,-3500000000,1500000000,-3500000000,1000000000,0,0,0,3,117,15.7945205479,2017,5475,-0.006999999999999999,10,25,0.315,0.32,-0.005,-0.005,25303,21894,8680,117,-0.08,0.0098913306,0,0
