,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
865,888,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,-50000000000,0.0,0.0,0,0.0,0,0,4,78,1.997260274,2801,10792,0.006999999999999999,1,3,-0.115,-0.115,0.0,-0.001,42441,36567,8030,78,-0.043648649000000005,-0.070320334,1,0
866,889,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,4700000000.0,0.0,0,0.0,0,0,8,78,2.01369863,2806,8089,-0.002,1,3,-0.109,-0.109,0.0,-0.004,42441,36567,16872,78,-0.056138310999999996,-0.070320334,0,2
867,890,2,0,0,0,10,13,0,0,0,0,1900000000.0,0.0,0,0,100000000.0,-2000000000.0,0,0.0,0,0,2,78,2.030136986,2801,4911,-0.008,1,3,-0.115,-0.14,0.025,0.004,42441,36567,16872,78,-0.049818781,-0.053043657,2,1
868,891,7,2,1,0,5,4,0,0,0,0,-205700000000.0,0.0,3000000000,0,2700000000.0,200000000000.0,0,0.0,0,0,0,59,2.1123287669999997,2807,8563,0.005,1,3,-0.184,-0.19,0.006,0.005,20935,19230,5537,59,-0.045435835,-0.100417676,1,2
869,892,0,1,0,0,0,0,0,0,0,0,0.0,-5000000000.0,0,0,0.0,0.0,0,0.0,0,0,6,59,1.9780821919999998,2802,7575,-0.009000000000000001,1,3,-0.1,-0.1,0.0,-0.001,20935,19230,25883,59,-0.019419355,-0.11558211300000001,0,0
870,893,0,1,0,0,0,0,0,0,0,0,0.0,5000000000.0,0,0,0.0,0.0,0,0.0,0,0,9,59,1.991780822,2805,9329,0.001,1,3,-0.1,-0.11,0.01,0.005,20935,19230,25883,59,-0.014112676000000001,-0.11558211300000001,0,0
871,894,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,-50000000000,0.0,0.0,0,0.0,0,0,4,59,1.997260274,2801,10792,0.006999999999999999,1,3,-0.115,-0.115,0.0,-0.001,20935,19230,25883,59,-0.014112676000000001,-0.11558211300000001,1,0
872,895,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,8,59,3.6465753430000003,3007,9577,-0.008,3,5,-0.109,-0.109,0.0,-0.004,20935,19230,5537,59,-0.016060606,-0.11333333300000001,0,0
873,896,2,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,59,2.030136986,2801,4911,-0.008,1,3,-0.115,-0.14,0.025,0.004,20935,19230,5537,59,-0.011985112,-0.09090322599999999,0,2
874,897,7,2,1,1,1,8,0,0,0,0,11000000000.0,0.0,3000000000,-3000000000,-1000000000.0,-10000000000.0,0,0.0,0,0,0,285,2.364383562,2807,8563,0.005,1,3,-0.184,-0.19,0.006,0.005,45859,38370,11537,285,-0.04200235,-0.08202416900000001,2,2
875,898,0,1,0,0,0,0,0,0,0,0,0.0,-6000000000.0,0,0,0.0,0.0,0,0.0,0,0,6,285,2.2301369859999998,2802,7575,-0.009000000000000001,1,3,-0.1,-0.1,0.0,-0.001,45859,38370,20328,285,-0.019880428000000002,-0.04026087,0,0
876,899,0,1,0,0,0,2,0,0,0,0,0.0,6000000000.0,0,0,0.0,-7900000000.0,0,0.0,0,0,9,285,2.243835616,2805,9329,0.001,1,3,-0.10099999999999999,-0.11,0.009000000000000001,0.005,45859,38370,20328,285,-0.019880428000000002,-0.060921162,1,0
877,900,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,5400000000.0,0.0,0,0.0,0,0,4,285,2.249315069,2801,10792,0.006999999999999999,1,3,-0.115,-0.115,0.0,-0.001,45859,38370,20328,285,-0.017461538999999998,-0.060921162,0,2
878,901,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,21500000000.0,0.0,0,0.0,0,0,8,285,2.265753425,2806,8089,-0.002,1,3,-0.10800000000000001,-0.11,0.002,0.0,45859,38370,11537,285,-0.019824522,-0.062168388,0,2
879,902,2,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,285,2.282191781,2801,4911,-0.008,1,3,-0.11900000000000001,-0.14,0.021,0.004,45859,38370,11537,285,-0.016327861000000003,-0.067672622,0,1
880,903,3,1,0,0,0,6,0,0,0,0,-16900000000.0,16900000000.0,0,0,0.0,0.0,0,0.0,0,0,0,213,2.364383562,2807,8563,0.005,1,3,-0.184,-0.19,0.006,0.005,23478,19153,8030,213,-0.0379233,-0.052083936,1,1
881,904,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,213,3.917808219,3003,9877,0.003,3,5,-0.1,-0.1,0.0,-0.001,23478,19153,8421,213,-0.029054054,-0.1,0,0
882,905,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,213,3.917808219,3004,9967,0.002,3,5,-0.1,-0.11,0.01,0.005,23478,19153,8421,213,-0.029054054,-0.1,0,0
883,906,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,4,213,3.917808219,3004,11719,0.003,3,5,-0.115,-0.115,0.0,-0.001,23478,19153,8421,213,-0.030066445,-0.1,0,0
884,907,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,5000000000.0,0.0,0,0.0,0,0,8,213,2.265753425,2806,8089,-0.002,1,3,-0.10800000000000001,-0.11,0.002,0.0,23478,19153,8030,213,-0.030066445,-0.1,0,1
885,908,3,2,0,0,0,0,0,0,0,0,-7500000000.0,7500000000.0,0,0,0.0,0.0,0,0.0,0,0,2,213,2.282191781,2801,4911,-0.008,1,3,-0.11900000000000001,-0.14,0.021,0.004,23478,19153,8030,213,-0.040031766,-0.055959339000000004,1,1
886,909,2,0,0,0,12,3,0,0,0,0,33600000000.0,0.0,0,0,-18600000000.0,-15000000000.0,0,0.0,0,0,0,125,2.61369863,2807,8563,0.005,1,3,-0.183,-0.18899999999999997,0.006,0.005,70770,60084,25883,125,-0.039863216,-0.12234935300000001,2,1
